"","Time","Product1","Product2","Label","Competidor"
"411",80,47566029.76,0,"Real","Competidor 2"
"412",81,45936019.35,0,"Real","Competidor 2"
"413",82,47348322.75,0,"Real","Competidor 2"
"414",83,46570997.1,0,"Real","Competidor 2"
"415",84,48732352.1,0,"Real","Competidor 2"
"416",85,47017373.95,0,"Real","Competidor 2"
"417",86,47639439.5,0,"Real","Competidor 2"
"418",87,48441506.35,0,"Real","Competidor 2"
"419",88,45538147.7,0,"Real","Competidor 2"
"420",89,45933994.9,0,"Real","Competidor 2"
"421",90,45227517,0,"Real","Competidor 2"
"422",91,45788948.45,0,"Real","Competidor 2"
"423",92,45406189.4,0,"Real","Competidor 2"
"424",93,43776565.7,0,"Real","Competidor 2"
"425",94,44040417.3,0,"Real","Competidor 2"
"426",95,42138096.4,0,"Real","Competidor 2"
"427",96,43764521.8,0,"Real","Competidor 2"
"428",97,42392977.9,0,"Real","Competidor 2"
"429",98,43340935.3,0,"Real","Competidor 2"
"430",99,42583513,0,"Real","Competidor 2"
"431",100,40905114.5,0,"Real","Competidor 2"
"432",101,42233664.5,0,"Real","Competidor 2"
"433",102,40639094,0,"Real","Competidor 2"
"434",103,39933372.4,0,"Real","Competidor 2"
"435",104,39705571.5,0,"Real","Competidor 2"
"436",105,38805749,0,"Real","Competidor 2"
"437",106,40634790,0,"Real","Competidor 2"
"438",107,39137780,0,"Real","Competidor 2"
"439",108,39785576,0,"Real","Competidor 2"
"440",109,39547877.3,0,"Real","Competidor 2"
"441",110,39218705,0,"Real","Competidor 2"
"442",111,38312811.8,0,"Real","Competidor 2"
"443",112,38125319,0,"Real","Competidor 2"
"444",113,37656848.5,0,"Real","Competidor 2"
"445",114,42063064.9,0,"Real","Competidor 2"
"446",115,40124189,0,"Real","Competidor 2"
"447",116,39775557.4,0,"Real","Competidor 2"
"448",117,40039598.5,0,"Real","Competidor 2"
"449",118,41098866.3,0,"Real","Competidor 2"
"450",119,41286109.8,0,"Real","Competidor 2"
"451",120,43100347.2,0,"Real","Competidor 2"
"452",121,42334707.5,0,"Real","Competidor 2"
"453",122,42052641,0,"Real","Competidor 2"
"454",123,43546753.5,0,"Real","Competidor 2"
"455",124,41712464,0,"Real","Competidor 2"
"456",125,43161126.3,0,"Real","Competidor 2"
"457",126,45436439,0,"Real","Competidor 2"
"458",127,46892599,0,"Real","Competidor 2"
"459",128,43701086,0,"Real","Competidor 2"
"460",129,44634766,0,"Real","Competidor 2"
"461",130,43930295.5,0,"Real","Competidor 2"
"462",131,44820397,0,"Real","Competidor 2"
"463",132,43629675,0,"Real","Competidor 2"
"464",133,43751449.5,0,"Real","Competidor 2"
"465",134,42985697.5,0,"Real","Competidor 2"
"466",135,43582308.5,0,"Real","Competidor 2"
"467",136,44715778,0,"Real","Competidor 2"
"468",137,43877792.5,0,"Real","Competidor 2"
"469",138,44161009,0,"Real","Competidor 2"
"470",139,42794412.5,0,"Real","Competidor 2"
"471",140,42154771.5,0,"Real","Competidor 2"
"472",141,44307121.1,0,"Real","Competidor 2"
"473",142,42593039.6,0,"Real","Competidor 2"
"474",143,42326751.5,0,"Real","Competidor 2"
"475",144,41961908,0,"Real","Competidor 2"
"476",145,42525649.2,0,"Real","Competidor 2"
"477",146,41357666,0,"Real","Competidor 2"
"478",147,40238373.2,0,"Real","Competidor 2"
"479",148,39870407.1,0,"Real","Competidor 2"
"480",149,40698083.5,0,"Real","Competidor 2"
"481",150,39824827.5,0,"Real","Competidor 2"
"482",151,39897223.5,0,"Real","Competidor 2"
"483",152,36326696,0,"Real","Competidor 2"
